Nacho,Perez,44738234,nperez@itba.edu.ar,nacho,2,1,nperez
Julian,Alvarez,44483792,jal@itba.ar,julian,0,0,jalvarez
Facundo,Ojeda,44486367,ojedafacu02@gmail.com,facu,4,1,fojeda
﻿Nati,Jota,23748549,nj@gmail.com,nati,7,3,njota
Valentin,Garijo,43517955,vgarijo@gmail.com,vg,0,0,vgarijo
Musashi,Miyamoto,11111111,musashi@itba.edu.ar,vagabond,0,0,vagabond
Al,Pacino,44444445,al@gmail.com,alpacino,0,0,alpacino
Constanza,Berraud Galea,44720378,cberraud@itba.edu.ar,coni8372,0,0,conibg
Emiliano,Martinez,27389213,dibu@gmail.com,dibu,1,0,dibu
Magnus,Carlsen,23234545,magnus@itba.edu.ar,magnus,0,0,magnus
Manuel,Ridruejo,44728903,marama@itba.edu.ar,manu,6,3,mridruejo
